คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2550,6.2 - 7.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2551,6.0 - 6.79
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2552,5.83 - 6.64
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2553,3.70-6.70
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2554,4.97 - 7.51
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2555,4.56-6.83
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2556,4.46
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2557,6.16 - 7.00
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดแม่รำพึง -  แหลมแม่พิมพ์,2558,5.53 - 6.26
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2541,3.1 - 6.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2542,5.5 - 8.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2543,5.5 - 9.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2544,2.4 - 7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2545,         5.4 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2546,3.5-7.2
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2547,5.0-8.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2548,4.4 - 9.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2549,4.8 - 7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2550,5.8 - 7.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2551,5.72 - 6.92
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2552,4.01 - 7.26
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2553,3.7 - 8.00
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2554,3.50 - 7.10
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2555,4.30-8.40
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2556,3.86 - 6.85
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2557,5.52 - 8.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    จันทบุรี - ตราด,2558,4.43 - 6.20
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากน้ำระยอง,2556,4.24-5.73
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากน้ำระยอง,2557,6.93 - 7.12
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากน้ำระยอง,2558,5.53 - 5.68
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากแม่น้ำประแสร์,2556,3.95-5.90
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากแม่น้ำประแสร์,2557,5.95 - 6.37
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ปากแม่น้ำประแสร์,2558,5.00 - 5.28
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ท่าเรือประมง (ตลาดบ้านเพ),2556,5.15-6.38
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ท่าเรือประมง (ตลาดบ้านเพ),2557,6.16 - 6.68
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ท่าเรือประมง (ตลาดบ้านเพ),2558,5.35 - 5.58
ปริมาณออกซิเจนละลายน้ำมก./ล.,    แหลมแม่พิมพ์,2557,6.15 - 6.23
ปริมาณออกซิเจนละลายน้ำมก./ล.,    แหลมแม่พิมพ์,2558,6.18 - 6.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2541,2.0 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2542,2.2 - 7.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    เพชรบุรี,2543,6.1 - 7.8
